company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,goodwill,grossppe,intangibleassets,longtermdebt,netinventory,netppe,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2017.0,Q3,,2017-02-28,2017-04-04 16:20:26+00:00,1938000000.0,3752000000.0,3228000000.0,,229000000.0,4021000000.0,0.0,8395000000.0,,76000000.0,139000000.0,,283000000.0,3472000000.0,4932000000.0,3793000000.0,2732000000.0,1687000000.0,,,,,,1361000000.0,0.0,4095000000.0,29000000.0,2139000000.0,23152000000.0,12719000000.0,16205000000.0,5271000000.0,12722000000.0,12722000000.0,10430000000.0,23152000000.0,3154000000.0,5159000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2017.0,Q2,,2016-11-30,2017-01-05 16:21:57+00:00,2033000000.0,3478000000.0,3076000000.0,,399000000.0,4339000000.0,0.0,8196000000.0,,52000000.0,139000000.0,,283000000.0,3473000000.0,5033000000.0,3566000000.0,2653000000.0,1631000000.0,,,,,,1557000000.0,0.0,3725000000.0,64000000.0,1604000000.0,22652000000.0,12320000000.0,16011000000.0,5225000000.0,12323000000.0,12323000000.0,10329000000.0,22652000000.0,3075000000.0,5104000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2017.0,Q1,,2016-08-31,2016-10-11 08:46:57+00:00,2088000000.0,3526000000.0,3147000000.0,,85000000.0,2659000000.0,0.0,7999000000.0,,62000000.0,139000000.0,,284000000.0,1993000000.0,4896000000.0,3572000000.0,2572000000.0,1635000000.0,,,,,,1380000000.0,0.0,4078000000.0,66000000.0,2128000000.0,21156000000.0,12162000000.0,14589000000.0,5363000000.0,12165000000.0,12165000000.0,8991000000.0,21156000000.0,2995000000.0,3628000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2018.0,FY,,2018-05-31,2019-07-23 16:13:55+00:00,2279000000.0,3498000000.0,3269000000.0,,-92000000.0,4249000000.0,0.0,6384000000.0,,150000000.0,154000000.0,,285000000.0,3468000000.0,5261000000.0,4454000000.0,2509000000.0,3216000000.0,,,,,,1130000000.0,0.0,3517000000.0,342000000.0,996000000.0,22536000000.0,9809000000.0,15134000000.0,6040000000.0,9812000000.0,9812000000.0,12724000000.0,22536000000.0,2948000000.0,6684000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2018.0,Q3,,2018-02-28,2018-04-05 16:10:22+00:00,1961000000.0,3792000000.0,3727000000.0,,-624000000.0,3662000000.0,0.0,9325000000.0,,78000000.0,139000000.0,,282000000.0,3469000000.0,5366000000.0,4298000000.0,2478000000.0,3518000000.0,,,,,,1446000000.0,0.0,1078000000.0,17000000.0,1089000000.0,22552000000.0,9779000000.0,15355000000.0,5783000000.0,9782000000.0,9782000000.0,12770000000.0,22552000000.0,2899000000.0,6987000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2018.0,Q2,,2017-11-30,2018-01-05 16:11:45+00:00,2141000000.0,3613000000.0,3278000000.0,,-587000000.0,4304000000.0,0.0,9041000000.0,,92000000.0,139000000.0,,282000000.0,3472000000.0,5326000000.0,4117000000.0,2935000000.0,2075000000.0,,,,,,1254000000.0,0.0,3301000000.0,1239000000.0,2085000000.0,24055000000.0,11755000000.0,16582000000.0,6750000000.0,11758000000.0,11758000000.0,12297000000.0,24055000000.0,3356000000.0,5547000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2018.0,Q1,,2017-08-31,2017-10-06 16:17:00+00:00,2116000000.0,3871000000.0,3501000000.0,,-586000000.0,3413000000.0,0.0,8817000000.0,,97000000.0,139000000.0,,283000000.0,3472000000.0,5211000000.0,4086000000.0,2947000000.0,2126000000.0,,,,,,1591000000.0,0.0,3759000000.0,342000000.0,2106000000.0,23647000000.0,11990000000.0,16192000000.0,6056000000.0,11993000000.0,11993000000.0,11654000000.0,23647000000.0,3369000000.0,5598000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2019.0,FY,,2019-05-31,2020-04-07 16:07:19+00:00,2612000000.0,4272000000.0,5010000000.0,,231000000.0,4466000000.0,,7166000000.0,,229000000.0,154000000.0,,283000000.0,3464000000.0,5622000000.0,4744000000.0,2011000000.0,3347000000.0,0.0,,,0.0,0.0,1968000000.0,0.0,1643000000.0,15000000.0,197000000.0,23717000000.0,9040000000.0,16525000000.0,7866000000.0,9040000000.0,9040000000.0,14677000000.0,23717000000.0,2448000000.0,6811000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2019.0,Q3,,2019-02-28,2019-04-04 16:07:14+00:00,2307000000.0,4549000000.0,4738000000.0,,197000000.0,3695000000.0,0.0,6910000000.0,,214000000.0,154000000.0,,283000000.0,3465000000.0,5415000000.0,4688000000.0,2000000000.0,3214000000.0,,,,,,1786000000.0,0.0,1851000000.0,22000000.0,351000000.0,22921000000.0,8958000000.0,15796000000.0,7281000000.0,8961000000.0,8961000000.0,13960000000.0,22921000000.0,2437000000.0,6679000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2019.0,Q2,,2018-11-30,2019-01-08 16:08:39+00:00,2574000000.0,4346000000.0,4478000000.0,,209000000.0,3423000000.0,0.0,6707000000.0,,211000000.0,154000000.0,,284000000.0,3466000000.0,5388000000.0,4588000000.0,2085000000.0,3204000000.0,,,,,,1791000000.0,0.0,1810000000.0,15000000.0,618000000.0,22677000000.0,8726000000.0,15566000000.0,7278000000.0,8729000000.0,8729000000.0,13948000000.0,22677000000.0,2523000000.0,6670000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2019.0,Q1,,2018-08-31,2018-10-05 16:28:22+00:00,2333000000.0,4330000000.0,4174000000.0,,-30000000.0,3282000000.0,0.0,6525000000.0,,182000000.0,154000000.0,,284000000.0,3467000000.0,5227000000.0,4487000000.0,2057000000.0,3316000000.0,,,,,,1675000000.0,0.0,2494000000.0,19000000.0,987000000.0,22483000000.0,8989000000.0,15501000000.0,6708000000.0,8992000000.0,8992000000.0,13491000000.0,22483000000.0,2495000000.0,6783000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2020.0,Q3,,2020-02-29,2020-04-07 16:07:19+00:00,2221000000.0,4473000000.0,5356000000.0,,-57000000.0,2863000000.0,,7974000000.0,,268000000.0,223000000.0,,275000000.0,3463000000.0,5807000000.0,4783000000.0,2288000000.0,2674000000.0,422000000.0,,,2907000000.0,2758000000.0,2282000000.0,0.0,1128000000.0,13000000.0,319000000.0,26220000000.0,9045000000.0,15744000000.0,8280000000.0,9045000000.0,9045000000.0,17175000000.0,26220000000.0,5693000000.0,8895000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2020.0,Q2,,2019-11-30,2020-01-07 16:03:25+00:00,2627000000.0,4792000000.0,4672000000.0,,52000000.0,3070000000.0,,7722000000.0,,228000000.0,224000000.0,,277000000.0,3462000000.0,6199000000.0,4668000000.0,2182000000.0,2802000000.0,431000000.0,,,2882000000.0,2723000000.0,1876000000.0,0.0,1577000000.0,306000000.0,432000000.0,26602000000.0,9351000000.0,16369000000.0,8264000000.0,9351000000.0,9351000000.0,17251000000.0,26602000000.0,5565000000.0,8987000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2020.0,Q1,,2019-08-31,2019-10-04 16:05:38+00:00,2716000000.0,4656000000.0,4455000000.0,,180000000.0,3446000000.0,,7296000000.0,,216000000.0,224000000.0,,279000000.0,3463000000.0,5835000000.0,4615000000.0,2071000000.0,2841000000.0,427000000.0,,,2832000000.0,2675000000.0,2093000000.0,0.0,1721000000.0,256000000.0,198000000.0,26249000000.0,9197000000.0,16228000000.0,8070000000.0,9200000000.0,9200000000.0,17049000000.0,26249000000.0,5406000000.0,8979000000.0
