company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Progressive Corp,PGR,,80661,2014.0,Q3TTM,2013-10-01,2014-09-30,,82100000.0,98200000.0,,1600000.0,629500000.0,344700000.0,,-1077300000.0,-744000000.0,1809400000.0,-1077300000.0,-744000000.0,1809400000.0,-10300000.0,1210600000.0,1210600000.0,-211000000.0,12800000.0,94300000.0,-892600000.0,-8514900000.0,-108400000.0,-198900000.0,-343300000.0,7779200000.0,5800000.0
Progressive Corp,PGR,,80661,2014.0,Q3,2014-07-01,2014-09-30,,21400000.0,25100000.0,,100000.0,297600000.0,,,-141500000.0,-510400000.0,616300000.0,-141500000.0,-510400000.0,616300000.0,-35500000.0,296100000.0,296100000.0,-23900000.0,2100000.0,-77800000.0,,-2068300000.0,-28900000.0,-48900000.0,-94700000.0,1663200000.0,1400000.0
Progressive Corp,PGR,,80661,2014.0,Q3YTD,2014-01-01,2014-09-30,2015-11-05 11:02:02+00:00,59500000.0,71800000.0,,1300000.0,766000000.0,344700000.0,,-818700000.0,-824600000.0,1657500000.0,-818700000.0,-824600000.0,1657500000.0,15500000.0,910800000.0,910800000.0,-150600000.0,12800000.0,96700000.0,-892600000.0,-7423100000.0,-73600000.0,-48900000.0,-234700000.0,6570900000.0,4500000.0
Progressive Corp,PGR,,80661,2014.0,Q2TTM,2013-07-01,2014-06-30,,95300000.0,99000000.0,,1300000.0,656600000.0,344700000.0,,-1029100000.0,-746900000.0,1803900000.0,-1029100000.0,-746900000.0,1803900000.0,29200000.0,1146900000.0,1146900000.0,-193900000.0,13600000.0,118800000.0,-892600000.0,-8306800000.0,-115600000.0,-208100000.0,-286700000.0,7551500000.0,5200000.0
Progressive Corp,PGR,,80661,2014.0,Q2,2014-04-01,2014-06-30,,19100000.0,23900000.0,,600000.0,68800000.0,344700000.0,,299400000.0,-651200000.0,380600000.0,299400000.0,-651200000.0,380600000.0,29400000.0,293400000.0,293400000.0,-24600000.0,,585800000.0,,-2936200000.0,-28500000.0,,-45300000.0,1726800000.0,900000.0
Progressive Corp,PGR,,80661,2014.0,Q2YTD,2014-01-01,2014-06-30,2015-08-05 12:35:49+00:00,38100000.0,46700000.0,,1200000.0,468400000.0,344700000.0,,-677200000.0,-314200000.0,1041200000.0,-677200000.0,-314200000.0,1041200000.0,51000000.0,614700000.0,614700000.0,-126700000.0,10700000.0,174500000.0,-892600000.0,-5354800000.0,-44700000.0,0.0,-140000000.0,4907700000.0,3100000.0
Progressive Corp,PGR,,80661,2014.0,Q1TTM,2013-04-01,2014-03-31,,113000000.0,100400000.0,,100000.0,730800000.0,,,-1403100000.0,-448900000.0,1838400000.0,-1403100000.0,-448900000.0,1838400000.0,-13500000.0,1178100000.0,1178100000.0,-283900000.0,14400000.0,-357500000.0,-892600000.0,-7484900000.0,-128900000.0,-208100000.0,-316800000.0,7517300000.0,5100000.0
Progressive Corp,PGR,,80661,2014.0,Q1,2014-01-01,2014-03-31,2015-05-11 16:21:33+00:00,19000000.0,22800000.0,,600000.0,399600000.0,0.0,,-976600000.0,337000000.0,660600000.0,-976600000.0,337000000.0,660600000.0,21600000.0,321300000.0,321300000.0,-102100000.0,10700000.0,-411300000.0,-892600000.0,-2418600000.0,-16200000.0,,-94700000.0,3180900000.0,2200000.0
Progressive Corp,PGR,,80661,2015.0,FY,2015-01-01,2015-12-31,2018-02-27 16:46:52+00:00,145200000.0,103700000.0,,-200000.0,787100000.0,382000000.0,,-252800000.0,-1923900000.0,2292900000.0,-252800000.0,-1923900000.0,2292900000.0,116000000.0,1300500000.0,1300500000.0,-43600000.0,17000000.0,-773500000.0,-403600000.0,-9958200000.0,-130700000.0,-39700000.0,-208500000.0,8927900000.0,10600000.0
Progressive Corp,PGR,,80661,2015.0,Q4,2015-10-01,2015-12-31,,42800000.0,27600000.0,,500000.0,-290100000.0,,,-38400000.0,-64700000.0,132500000.0,-38400000.0,-64700000.0,132500000.0,29900000.0,349900000.0,349900000.0,2300000.0,2000000.0,-879500000.0,,-1637500000.0,-44100000.0,-6800000.0,-33600000.0,2494500000.0,1900000.0
