Date,Assets,Cash & Near Cash Items,Interbanking Assets,Short-Term Investments,Net Loans,Total Loans,Reserve for Losses on Loans,Long-Term Investments,Net Fixed Assets,Other Assets,Customers' Acceptance Liability,Total Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Customer Deposits,ST Borrowings & Repos,Other Short-Term Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2002,,318.914,0.0,956.72,58268.9,58550.0,-281.097,7105.732,351.942,1403.621,0.0,68405.83,,0.0,41038.8,27089.23,13949.57,0.0,41038.8,8571.509,489.252,12985.37,295.649,63380.58,0.0,0.0,213.514,4811.736,5025.25,68405.83,
03/31/2003,,305.998,0.0,650.104,60960.88,61245.55,-284.673,6536.268,356.301,1193.949,0.0,70003.5,,0.0,43503.23,30488.23,13015.0,0.0,43503.23,221.988,615.978,20072.31,396.322,64809.828,0.0,0.0,215.557,4978.114,5193.671,70003.499,
06/30/2003,,267.96,0.0,632.522,63690.27,63978.14,-287.868,5906.461,355.042,1345.766,0.0,72198.02,,0.0,44385.72,32083.72,12302.0,0.0,44385.72,386.237,533.122,21117.61,363.585,66786.274,0.0,0.0,219.006,5192.748,5411.754,72198.028,
09/30/2003,,219.0,0.0,975.153,67507.41,67796.37,-288.949,5646.463,355.955,1453.854,0.0,76157.84,,0.0,46145.05,34776.05,11369.0,0.0,46145.05,1021.639,404.258,22370.68,580.969,70522.596,0.0,0.0,220.332,5414.915,5635.247,76157.843,
12/31/2003,,260.823,0.0,1901.514,74205.578,74495.515,-289.937,5235.706,360.327,585.942,0.0,82549.89,,0.0,46726.965,35748.202,10978.763,0.0,46726.965,10885.279,561.406,18143.451,285.521,76602.622,0.0,0.0,236.135,5711.133,5947.268,82549.89,
03/31/2004,,248.71,,1301.024,80121.686,80121.686,,3983.379,367.579,582.393,,86604.771,,,47384.0,35826.0,11558.0,,47384.0,2672.049,627.431,29300.791,376.641,80360.912,,,244.243,5999.616,6243.859,86604.771,
06/30/2004,,296.33,,1665.978,86471.707,86471.707,,3814.375,376.501,533.411,,93158.302,,,48611.0,34524.0,14087.0,,48611.0,3470.761,587.357,33488.892,434.531,86592.541,,,250.821,6314.94,6565.761,93158.302,
09/30/2004,,283.776,0.0,991.461,94259.118,94259.118,,3769.769,378.769,564.734,0.0,100247.627,,0.0,51667.0,40013.0,11654.0,0.0,51667.0,3650.179,611.997,36883.996,543.668,93356.84,0.0,0.0,260.033,6630.754,6890.787,100247.627,
12/31/2004,,292.42099,0.0,1441.147949,100506.851562,100796.960938,-290.109985,3658.889893,391.52301,597.705017,0.0,106888.539062,,0.0,52965.311523,39416.089844,13549.22168,0.0,52965.3125,17204.244141,561.771973,28479.384766,402.951996,99613.665375,0.0,0.0,294.421997,6980.454102,7274.876099,106888.541473,
03/31/2005,,311.607,0.0,2108.532,105641.104,105931.296,-290.192,3460.496,398.181,667.929,0.0,112587.849,,0.0,55593.265,28940.133,26653.132,0.0,55593.265,6535.936,730.094,41467.746,681.31,105008.351,0.0,0.0,305.43,7274.068,7579.498,112587.849,
06/30/2005,,301.269,0.0,1744.851,110999.19,111290.877,-291.687,3373.4,403.121,663.847,0.0,117485.678,,0.0,59226.14,21785.897,37440.243,0.0,59226.14,6682.955,594.348,42492.849,552.943,109549.235,0.0,0.0,312.556,7623.887,7936.443,117485.678,
09/30/2005,,326.443,0.0,1717.247,114801.293,115094.668,-293.375,3369.5,401.713,665.21,0.0,121281.406,,0.0,58429.315,19478.292,38951.023,0.0,58429.315,5150.0,560.182,48090.98,780.46,113010.937,0.0,0.0,338.124,7932.345,8270.469,121281.406,
12/31/2005,,518.161,1321.626,477.645,117798.6,118094.459,-295.859,3329.763,403.084,766.284,0.0,124615.163,,0.0,60158.319,19057.404,41100.915,0.0,60158.319,16819.026,547.653,37730.356,688.844,115944.198,0.0,0.0,369.801,8301.164,8670.965,124615.163,
03/31/2006,,242.496,1579.133,506.979,120756.63,121056.595,-299.965,3283.456,409.582,778.18,0.0,127556.456,,0.0,61583.224,17878.707,43704.517,0.0,61583.224,8876.916,771.388,46584.234,697.734,118513.496,0.0,0.0,390.126,8652.834,9042.96,127556.456,
06/30/2006,,296.595,1524.581,499.418,122040.539,122342.608,-302.069,3232.688,408.405,803.401,0.0,128805.627,,0.0,62234.341,15634.42,46599.921,0.0,62234.341,7782.961,612.175,48011.254,752.105,119392.836,0.0,0.0,408.314,9004.477,9412.791,128805.627,
