Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Adjustments,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
06/30/2006,2744.535426,-228.593,0.0,0.0,0.0,,2515.942426,434.345,0.0,0.0,0.697832,6.925629,7.737742,9.696682,22.001492,2813.0966,2584.5036,22.092705,,
09/30/2006,2424.470961,-286.383,0.0,0.0,0.0,,2138.087961,462.738,0.0,0.0,0.548573,5.499905,6.099551,7.189212,13.361358,2503.73739,2217.35439,19.10589,,
12/31/2006,2843.274011,-250.285,0.0,0.0,0.0,0.0,2592.989011,466.094,0.0,0.0,0.644506,6.447639,7.165111,10.545933,20.670041,2928.001,2677.716,23.437705,,
03/31/2007,3263.509262,-270.676,0.0,0.0,0.0,0.0,2992.833262,499.229,0.0,0.0,0.719865,6.511298,7.185847,8.538672,12.705219,3339.6574,3068.9814,27.190824,,
06/30/2007,4078.486487,-356.677,0.0,0.0,0.0,,3721.809487,640.0,0.0,0.0,0.874969,6.491102,7.173674,6.983171,9.774881,4151.15307,3794.47607,33.850921,,
09/30/2007,3255.781914,-223.816,0.0,0.0,0.0,,3031.965914,665.075,0.0,0.0,0.706814,5.542332,6.459829,4.58534,7.262413,3341.68499,3117.86899,27.858518,,
12/31/2007,2677.63684,-329.784,0.0,8.333,0.0,,2356.18584,602.127,0.0,0.0,0.491718,4.336557,5.052593,2.981198,4.447232,2803.93722,2482.48622,22.390321,,
03/31/2008,2201.303389,-386.525,0.0,398.016,351.416,,2564.210389,1249.465,28.125318,0.137046,0.479663,5.596171,6.759467,3.189049,5.154012,2236.26615,2599.17315,25.283288,,
06/30/2008,1849.950772,-271.081,0.0,405.087,359.909,,2343.865772,1245.369,28.899788,0.153554,0.399113,9.94339,14.377163,4.312435,12.775108,1865.0138,2358.9288,23.388602,,
09/30/2008,1436.942805,-214.381,0.0,404.351,364.851,,1991.763805,1279.119,28.523617,0.18318,0.311996,8.469032,11.16641,5.432284,73.288236,1446.92544,2001.74644,20.043181,,
12/31/2008,910.464901,-94.447,0.0,394.792,370.914,,1581.723901,1307.246,28.373696,0.2345,0.269691,6.031865,7.970832,9.231982,-6.410798,911.44531,1582.70431,15.835221,,
03/31/2009,1062.157482,-54.465,0.0,392.323,466.485,,1866.500482,1417.569,32.907393,0.249925,0.370852,6.275259,8.235639,25.598889,-5.022704,1063.6252,1867.9682,18.627092,,
06/30/2009,903.39602,-109.479,0.0,456.99,578.02,,1828.92702,1604.589,36.022932,0.316043,0.422877,5.640763,7.499844,9.06753,-9.100619,903.06348,1828.59448,18.200273,,
09/30/2009,1287.263962,-99.553,0.0,460.028,605.832,,2253.570962,1653.188,36.646286,0.268832,0.55052,7.404124,10.410643,13.427181,-11.0032,1289.37774,2255.68474,22.426048,,
12/31/2009,1360.088474,-125.819,0.0,588.742,707.458,,2530.469474,1915.239,36.938366,0.279576,0.523444,14.062539,31.50838,10.330089,-43.939433,1316.8694,2487.2504,23.842542,,
03/31/2010,1484.686991,-94.756,0.0,580.154,820.595,,2790.679991,1984.106,41.358425,0.294048,0.460468,22.000709,141.114482,,,1485.70512,2791.69812,26.230404,,
06/30/2010,1414.322225,-141.428,0.0,577.873,805.336,,2656.103225,2026.092,39.748244,0.303202,0.370415,11.811097,23.199637,16.352215,-79.865489,1419.58464,2661.36564,24.958677,,
09/30/2010,1529.78796,-273.091,0.0,578.35,807.906,,2642.95296,2073.383,38.965594,0.305683,0.340012,9.379191,15.871208,8.279534,19.614307,1540.05125,2653.21625,24.835108,,
12/31/2010,2171.60133,-230.444,0.0,590.72,810.561,,3342.43833,2098.7,38.622052,0.242506,0.401594,8.783709,12.708988,9.990136,27.54563,2187.22896,3358.06596,31.375743,,
03/31/2011,3239.253707,-292.611,0.0,594.164,834.213,,4375.019707,2202.163,37.881528,0.190676,0.498565,7.730796,9.835019,7.924339,14.784118,3258.74108,4394.50708,41.032013,,
06/30/2011,3706.647546,-517.347,0.0,598.725,838.866,,4626.891546,2398.054,34.981114,0.181302,0.482144,6.032894,7.1974,6.1959,10.19679,3724.698,4644.942,43.314919,,
09/30/2011,5486.138108,-1759.353,0.0,605.86,1224.987,,5557.632108,6885.777,17.790106,0.220415,0.438337,3.602688,3.957173,4.692204,6.737149,5521.38138,5592.87538,26.561693,,
12/31/2011,4898.383916,-1840.61,0.0,631.89,1214.742,,4904.405916,7050.642,17.228814,0.247684,0.317653,2.593202,2.832382,3.531022,4.833322,4917.7206,4923.7426,23.428768,,
03/31/2012,6681.495754,-1927.536,0.0,625.266,1312.042,,6691.267754,7101.621,18.475247,0.196083,0.370817,3.074305,3.359048,4.392989,5.76049,6723.7867,6733.5587,32.197021,,
06/30/2012,7214.115907,-1648.446,0.0,618.164,1295.163,,7478.996907,7242.788,17.882106,0.173173,0.376127,2.785901,3.021852,5.424823,7.242136,7315.62183,7580.50283,36.730885,,
09/30/2012,8400.331864,-2343.336,0.0,595.22,1346.227,,7998.442864,7705.723,17.470483,0.168311,0.401616,2.840803,3.095291,5.378252,6.780482,8436.99118,8035.10218,39.295559,,
12/31/2012,9475.322139,-2393.401,0.0,589.704,1336.238,,9007.863139,7978.896,16.747154,0.148341,0.448359,2.88066,3.123234,5.211501,6.465613,9517.28715,9049.82815,44.253485,,
03/31/2013,10449.792844,-2543.136,0.0,643.254,1283.245,,9833.155844,8212.292,15.625906,0.130502,0.494955,3.004963,3.262735,5.731097,7.177934,10506.96465,9890.32765,48.413961,,
06/30/2013,8558.576254,-1985.528,0.0,633.945,990.236,,8197.229254,7889.614,12.551134,0.120801,0.402635,2.795096,3.080917,4.715081,6.025306,8637.4959,8276.1489,40.973809,,
09/30/2013,8398.70639,-1956.648,0.0,621.991,999.884,,8063.93339,7796.034,12.825547,0.123995,0.393722,3.801628,4.401489,6.007529,8.685938,8401.32399,8066.55099,40.431493,,
12/31/2013,9879.880141,-1665.263,0.0,609.778,997.519,,9821.914141,7606.917,13.113315,0.101561,0.487185,6.338682,7.882288,10.743247,20.081042,9903.76359,9845.79759,49.398465,,
03/31/2014,9458.133489,-1790.153,0.0,603.415,1023.057,,9294.452489,7671.558,13.335714,0.110072,0.459125,7.260684,9.602947,8.810122,16.093446,9464.80392,9301.12292,46.756588,,
06/30/2014,8674.71569,-1797.97,0.0,593.087,1027.885,,8497.71769,7694.504,13.358691,0.12096,0.418245,7.406425,10.566488,7.246964,12.617304,8667.2222,8490.2242,42.798554,,
09/30/2014,8569.945632,-1479.506,0.0,586.691,1039.396,,8716.526632,7600.244,13.675824,0.119244,0.429216,6.710063,9.107465,9.640497,22.006631,8628.3288,8774.9098,44.427106,,
12/31/2014,7349.306653,-1042.095,0.0,577.135,1054.297,,7938.643653,7155.016,14.735075,0.132806,0.401665,9.032322,15.398875,10.06086,35.402265,7320.2188,7909.5558,40.485501,,
03/31/2015,7840.670641,-1008.599,0.0,572.657,1077.369,,8482.097641,7276.872,14.805386,0.127017,0.471754,8.51612,13.396452,13.271993,327.007731,7857.52267,8498.94967,43.564395,,
06/30/2015,8049.849455,-626.218,0.0,564.896,933.162,,8921.689455,7101.117,13.141059,0.104595,0.547034,6.99244,9.627927,14.045161,-5096.541981,8173.17126,9045.01126,47.313546,,
09/30/2015,9035.663101,-626.784,0.0,560.516,982.846,,9952.241101,7164.53,13.71822,0.098756,0.682713,7.639597,10.513216,11.253864,46.342316,9149.88096,10066.45896,53.794331,,
12/31/2015,7189.549737,-210.552,0.0,556.358,1040.04,,8575.395737,6849.813,15.18348,0.121282,0.64779,5.391622,6.891449,8.503186,25.803307,7238.4394,8624.2854,47.579132,,
03/31/2016,6234.710276,-111.021,0.0,556.374,1308.168,,7988.231276,6951.366,18.818862,0.163762,0.6521,6.176397,8.504189,10.377831,68.491511,6244.01088,7997.53188,45.253799,,
06/30/2016,4195.928867,-533.318,0.0,561.536,1678.123,,5902.269867,6876.033,24.405395,0.284318,0.524053,20.666645,,,,4180.31105,5886.65205,33.436447,,
09/30/2016,4324.797526,-478.163,0.0,558.187,1665.602,,6070.423526,6886.003,24.188226,0.27438,0.576807,66.6201,,,,4311.8285,6057.4545,34.38898,,
12/31/2016,5809.830914,-1134.727,0.0,620.591,2235.137,,7530.831914,7537.122,29.655046,0.296798,0.714792,28.915249,,,,5763.49956,7484.50056,42.46424,,
03/31/2017,5026.370752,-129.512,0.0,629.723,2231.542,,7758.123752,7454.736,29.934554,0.287639,0.66895,51.218542,,,,4993.7914,7725.5444,43.742342,,
06/30/2017,4869.857811,-460.326,0.0,628.181,2227.951,,7265.663811,7470.035,29.825175,0.306641,0.588709,9.03019,22.528422,8.945383,17.068652,4843.01594,7238.82194,40.984315,,
09/30/2017,6376.618979,-630.742,0.0,616.913,2236.514,,8599.303979,7702.291,29.036997,0.260081,0.650789,7.543256,13.30834,8.733063,13.44699,6349.7841,8572.4691,48.507989,,
12/31/2017,9086.818399,-630.757,0.0,526.111,2498.993,,11481.165399,8395.933,29.764328,0.21766,0.805622,8.157893,12.73715,,,9089.34754,11483.69454,64.716303,,
03/31/2018,8637.40435,-781.467,0.0,576.454,2382.874,,10815.26535,8540.786,27.899938,0.220325,0.706915,5.861764,8.127043,7.726048,10.221862,8694.83244,10872.69344,61.179707,,
06/30/2018,12065.623859,-979.872,0.0,563.282,2387.759,,14036.792859,8791.402,27.160162,0.170107,0.86054,6.561082,8.17963,10.643517,13.573508,12152.20998,14123.37898,79.609455,,
09/30/2018,12194.520744,-1075.677,0.0,551.226,2409.148,,14079.217744,8972.66,26.849875,0.171114,0.810867,6.39817,7.949101,9.947927,12.491791,12367.1973,14251.8943,80.703239,,
12/31/2018,8798.85062,-1154.752,0.0,540.488,2411.54,,10596.12662,8870.599,27.185763,0.227587,0.598156,5.140464,6.524737,6.399179,7.879168,8908.12008,10705.39608,61.561904,,
03/31/2019,8413.61047,-496.139,0.0,530.534,2867.06,,11315.06547,9461.634,30.301954,0.253384,0.647186,5.18472,6.916426,6.768709,8.280643,8486.21553,11387.67053,66.260885,,
06/30/2019,7677.788272,-914.644,0.0,517.852,2888.687,,10169.683272,9419.686,30.666489,0.284049,0.571495,5.024671,6.96092,5.007593,5.81513,7892.91516,10384.81016,61.300589,,
09/30/2019,8682.309167,-981.856,0.0,521.155,2886.858,,11108.466167,9428.221,30.619329,0.259879,0.636629,5.649986,8.02439,5.354469,6.24911,8851.19004,11277.34704,68.628992,,
12/31/2019,8207.237283,-885.162,0.0,531.233,2931.205,,10784.513283,9440.631,31.048825,0.271798,0.616731,5.676839,8.322784,6.037459,7.225785,8260.55758,10837.83358,66.634197,,
03/31/2020,3967.78407,-909.126,0.0,516.317,2933.194,,6508.16907,9043.672,32.433662,0.450694,0.383062,5.961904,13.6325,3.781573,4.624761,3967.50723,6507.89223,40.202597,,
06/30/2020,4727.428024,-902.509,0.0,531.929,2902.037,,7258.885024,8816.548,32.915797,0.399791,0.508675,13.308799,,,,4727.1588,7258.6158,44.836101,,
09/06/2020,3697.19179312,-902.509,0.0,531.929,2902.037,,6228.64879312,8816.548,32.9157965226299,0.465917584437497,0.43647970746292,11.419912715192,,,,3694.3069305954,6225.7639305954,44.8361014963599,,
09/30/2020,,,,,,,,,,,0.606312546784776,8.02392798668058,24.5825342991668,,,,,,,
12/31/2020,,,,,,,,,,,0.554788600898169,6.45558239503239,14.6967605680834,,,,,,,
