Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2005,533.727,837.888,344.88,-725.243,,-725.243,76.202,141.588,-65.386,0.0,,390.804,-334.143,0.0,,,-334.143,,,0.0,0.0,0.0,,,,,724.947,-446.772,-405.74,493.0,,,,-525.43,0.0,-525.43,-8.602,,477.759,,,
06/30/2005,1798.214,877.052,332.977,422.352,,422.352,165.833,103.697,62.136,0.0,,-266.487,-299.709,0.0,,,-299.709,,,0.0,0.0,0.0,,,,,33.222,-1787.9,-426.579,-1457.593,,,,113.046,113.046,0.0,-16.774,,-256.173,,,
09/30/2005,3687.436,680.709,1021.224,1833.583,,1833.583,151.92,334.331,-182.411,0.0,,-158.447,-895.844,0.0,,,-895.844,,,0.0,0.0,0.0,,,,,737.397,-1909.61,-1259.856,-105.0,,,,-589.467,0.0,-589.467,44.713,,1619.379,,,
12/31/2005,1486.98,976.416,337.715,150.828,,150.828,22.021,-432.547,94.154,360.414,,-561.64,-311.649,0.0,,,-311.649,,,0.0,0.0,0.0,,,,,-249.991,-876.66,-426.616,272.426,,,,-489.21,223.637,-712.847,-233.26,,48.68,,,
03/31/2006,1183.119,864.883,372.592,-477.429,,-477.429,423.073,263.13,159.943,0.0,,-292.33,-296.252,0.0,,,-296.252,,,0.0,0.0,0.0,,,,,3.922,-1441.38,-423.551,-425.0,,,,-661.023,93.479,-754.502,68.194,,-550.591,,,
06/30/2006,1572.69,612.244,393.611,489.68,,489.68,77.155,47.884,29.271,0.0,,-6820.156,-375.106,0.0,,,-375.106,,,-2095.78,0.0,-2095.78,,,,,-4349.27,3695.272,-450.065,3923.811,,,,62.467,62.467,0.0,159.059,,-1552.194,,,
09/30/2006,1217.737,715.842,381.441,923.167,,923.167,-802.713,77.496,-99.978,-780.231,,-364.583,-352.339,0.0,,,-352.339,,,0.0,0.0,0.0,,,,,-12.244,-1117.686,-450.752,-991.222,,,,252.943,252.943,0.0,71.345,,-264.532,,,
12/31/2006,1355.695,-476.214,411.106,1666.379,,1666.379,-245.576,-490.291,15.417,229.298,,-3920.56,-314.121,0.0,,,-314.121,,,,,,,,,,-3606.439,2559.687,-452.802,3143.228,,,,93.893,93.893,0.0,-224.632,,-5.178,,,
03/31/2007,1056.287,697.537,432.424,-186.804,163.17,-349.974,113.13,162.752,-49.622,0.0,,-388.98,-392.676,0.0,,,-392.676,,,0.0,0.0,0.0,,,,,3.696,-506.151,-453.807,94.217,,,,-147.067,714.136,-861.203,0.506,,161.156,,,
06/30/2007,1539.455,988.744,435.501,188.615,,188.615,-73.405,-124.028,50.623,0.0,,-160.659,-447.174,0.0,,,-447.174,,,302.015,302.015,0.0,,,,,-15.5,-522.213,-500.752,-229.2,,,,197.731,199.998,-2.267,10.008,,856.583,,,
09/30/2007,1538.01,717.005,503.769,296.792,,296.792,20.444,55.939,-35.495,0.0,,-358.276,-387.578,0.0,,,-387.578,,,-302.015,0.0,-302.015,,,,,331.317,-807.834,-502.294,-233.187,,,,-82.493,112.643,-195.136,10.14,,371.9,,,
12/31/2007,1050.091,1203.028,483.192,487.405,266.507,220.898,-1123.534,-526.509,165.818,-762.843,,-228.362,-428.779,0.0,,,-428.779,,,568.437,568.437,0.0,,,,,-368.02,-276.176,-502.297,-176.323,,,,222.84,223.027,-0.187,179.604,,545.553,,,
03/31/2008,1305.151,937.867,451.854,-91.819,151.922,-243.741,7.249,43.998,-36.749,0.0,,-893.165,-332.983,0.0,,,-332.983,,,0.0,0.0,0.0,,,,,-560.182,-158.419,-504.55,789.946,,,,-511.662,307.488,-819.15,67.847,,253.567,,,
