company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2011.0,Q1,2011-01-01,2011-03-31,2012-04-27 12:51:41+00:00,,0.24,0.24,,0.24,16875000.0,22391000.0,40771000.0,42293000.0,-1522000.0,40771000.0,,40869000.0,181523000.0,,5478000.0,13594000.0,5530000.0,33629000.0,40869000.0,140654000.0,11820000.0,75144000.0,65510000.0,-6342000.0,59168000.0,181523000.0,169900000.0,170193000.0,171979000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2012.0,FY,2012-01-01,2012-12-31,2015-02-13 16:31:57+00:00,,2.04,2.04,,1.95,100210000.0,97809000.0,320032000.0,312485000.0,7547000.0,320032000.0,,167600000.0,873592000.0,,5564000.0,61694000.0,,89162000.0,167600000.0,705992000.0,50196000.0,248665000.0,457327000.0,-44632000.0,412695000.0,873592000.0,156900000.0,156953000.0,163909000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2012.0,Q4,2012-10-01,2012-12-31,,,0.68,0.68,,0.64,30205000.0,20753000.0,105641000.0,101089000.0,4552000.0,105641000.0,,42040000.0,230196000.0,,8596000.0,16059000.0,730000.0,15259000.0,42040000.0,188156000.0,12657000.0,52801000.0,135355000.0,-4061000.0,131294000.0,230196000.0,156900000.0,156953000.0,163909000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2012.0,Q3TTM,2011-10-01,2012-09-30,,,1.69,1.69,,1.63,102002000.0,104828000.0,268205000.0,256725000.0,11480000.0,268205000.0,,167576000.0,847042000.0,,-6720000.0,58756000.0,2622000.0,98415000.0,167576000.0,679466000.0,49398000.0,264621000.0,414845000.0,-56118000.0,358727000.0,847042000.0,155800000.0,156261000.0,166575000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2012.0,Q3YTD,2012-01-01,2012-09-30,,,1.36,1.36,,1.31,70005000.0,77056000.0,214391000.0,211396000.0,2995000.0,214391000.0,,125560000.0,643396000.0,,-3032000.0,45635000.0,-730000.0,73903000.0,125560000.0,517836000.0,37539000.0,195864000.0,321972000.0,-40571000.0,281401000.0,643396000.0,155800000.0,156261000.0,166575000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2012.0,Q3,2012-07-01,2012-09-30,2013-10-24 16:38:59+00:00,,0.5,0.5,,0.47,24882000.0,22928000.0,77910000.0,76819000.0,1091000.0,77910000.0,,41460000.0,223528000.0,,-1742000.0,15409000.0,0.0,27669000.0,41460000.0,182068000.0,12619000.0,66006000.0,116062000.0,-14361000.0,101701000.0,223528000.0,155800000.0,156261000.0,166575000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2012.0,Q2TTM,2011-07-01,2012-06-30,,,1.55,1.55,,1.52,99246000.0,106990000.0,249211000.0,238521000.0,10690000.0,249211000.0,,167810000.0,820479000.0,,-1387000.0,56835000.0,5593000.0,95521000.0,167810000.0,652669000.0,48576000.0,264939000.0,387730000.0,-49963000.0,337767000.0,820479000.0,159200000.0,157599000.0,164178000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2012.0,Q2YTD,2012-01-01,2012-06-30,,,0.86,0.86,,0.84,45123000.0,54128000.0,136481000.0,134577000.0,1904000.0,136481000.0,,84100000.0,419868000.0,,-1290000.0,30226000.0,-730000.0,46234000.0,84100000.0,335768000.0,24920000.0,129858000.0,205910000.0,-26210000.0,179700000.0,419868000.0,159200000.0,157599000.0,164178000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2012.0,Q2,2012-04-01,2012-06-30,2013-07-25 16:41:38+00:00,,0.43,0.43,,0.42,23831000.0,26313000.0,68472000.0,68472000.0,0.0,68472000.0,,42844000.0,214142000.0,,-2097000.0,15461000.0,-182000.0,22726000.0,42844000.0,171298000.0,12580000.0,64318000.0,106980000.0,-14677000.0,92303000.0,214142000.0,159200000.0,157599000.0,164178000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2012.0,Q1TTM,2011-04-01,2012-03-31,,,1.06,1.06,,1.04,59448000.0,102856000.0,170129000.0,162368000.0,7761000.0,170129000.0,,165633000.0,796181000.0,,6859000.0,54448000.0,9434000.0,101001000.0,165633000.0,630548000.0,147852000.0,267739000.0,362809000.0,-140993000.0,221816000.0,796181000.0,158200000.0,159344000.0,162881000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2012.0,Q1,2012-01-01,2012-03-31,2013-04-25 16:41:20+00:00,,0.43,0.43,,0.42,21292000.0,27815000.0,68009000.0,66105000.0,1904000.0,68009000.0,,41256000.0,205726000.0,,807000.0,14765000.0,-548000.0,23508000.0,41256000.0,164470000.0,12340000.0,65540000.0,98930000.0,-11533000.0,87397000.0,205726000.0,158200000.0,159344000.0,162881000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2013.0,FY,2013-01-01,2013-12-31,2016-02-19 16:11:16+00:00,,,3.77,,3.49,-87679000.0,89337000.0,544450000.0,544450000.0,,544450000.0,,187013000.0,965087000.0,,3300000.0,70297000.0,,90208000.0,187013000.0,778074000.0,74761000.0,249842000.0,528232000.0,-71461000.0,456771000.0,965087000.0,,144591000.0,155786000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2013.0,Q4,2013-10-01,2013-12-31,,,,3.77,,3.49,-175704000.0,25064000.0,292149000.0,292149000.0,,292149000.0,,46575000.0,245630000.0,,7508000.0,17766000.0,,26051000.0,46575000.0,199055000.0,21237000.0,68881000.0,130174000.0,-13729000.0,116445000.0,245630000.0,,144591000.0,155786000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2013.0,Q3TTM,2012-10-01,2013-09-30,,,0.68,0.68,,0.64,118230000.0,85026000.0,357942000.0,353390000.0,4552000.0,357942000.0,,182478000.0,949653000.0,,4388000.0,68590000.0,730000.0,79416000.0,182478000.0,767175000.0,66181000.0,233762000.0,533413000.0,-61793000.0,471620000.0,949653000.0,,141701000.0,152951000.0
