company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2013.0,Q3,2013-07-01,2013-09-30,,,-7441000.0,-61433000.0,162409000.0,,-11692000.0,269000.0,258000000.0,109712000.0,-310661000.0,202712000.0,109712000.0,-310661000.0,202712000.0,1763000.0,-10889000.0,-10889000.0,70325000.0,-5648000.0,-183000.0,-138399000.0,-318725000.0,-8541000.0,-3269000.0,,-1241000.0,16788000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2013.0,Q3YTD,2013-01-01,2013-09-30,2014-11-04 17:30:27+00:00,,-15831000.0,-137081000.0,468564000.0,,-64259000.0,2874000.0,471210000.0,-1895620000.0,-1195011000.0,469923000.0,-1895620000.0,-1195011000.0,469923000.0,-2620708000.0,100681000.0,100681000.0,-19232000.0,-59296000.0,31124000.0,-387682000.0,-1664776000.0,-10527000.0,-1889399000.0,,-33327000.0,449168000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2013.0,Q2TTM,2012-07-01,2013-06-30,,,-5003000.0,-132904000.0,437918000.0,15127000.0,-11898000.0,2257113000.0,913210000.0,482307000.0,-1314985000.0,585562000.0,482307000.0,-1314985000.0,585562000.0,-247116000.0,320702000.0,320702000.0,-156157000.0,-124260000.0,48139000.0,-437547000.0,-1901522000.0,-18832000.0,-2094123000.0,,-32086000.0,542103000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2013.0,Q2,2013-04-01,2013-06-30,,,-6786000.0,-29883000.0,196326000.0,,-14528000.0,2352000.0,213210000.0,-287363000.0,-234769000.0,185823000.0,-287363000.0,-234769000.0,185823000.0,-336309000.0,36101000.0,36101000.0,-25290000.0,-53568000.0,31667000.0,-138384000.0,-370760000.0,-134000.0,-278887000.0,,-32086000.0,104458000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2013.0,Q2YTD,2013-01-01,2013-06-30,2014-08-08 16:42:37+00:00,,-8390000.0,-75648000.0,306155000.0,,-52567000.0,2605000.0,213210000.0,-2005332000.0,-884350000.0,267211000.0,-2005332000.0,-884350000.0,267211000.0,-2622471000.0,111570000.0,111570000.0,-89557000.0,-53648000.0,31307000.0,-249283000.0,-1346051000.0,-1986000.0,-1886130000.0,,-32086000.0,432380000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2013.0,Q1TTM,2012-04-01,2013-03-31,,,3348000.0,-122349000.0,306611000.0,15093000.0,-9368000.0,2421487000.0,700000000.0,788974000.0,-1106627000.0,516867000.0,788974000.0,-1106627000.0,516867000.0,199214000.0,441422000.0,441422000.0,-225146000.0,-74127000.0,16472000.0,-391567000.0,-1737260000.0,-22558000.0,-1866819000.0,,,621626000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2013.0,Q1,2013-01-01,2013-03-31,2014-05-02 14:35:10+00:00,,-1604000.0,-45765000.0,109829000.0,,-38039000.0,253000.0,,-1717969000.0,-649581000.0,81388000.0,-1717969000.0,-649581000.0,81388000.0,-2286162000.0,75469000.0,75469000.0,-64267000.0,-80000.0,-360000.0,-110899000.0,-975291000.0,-1852000.0,-1607243000.0,,,327922000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2014.0,FY,2014-01-01,2014-12-31,2017-02-24 13:54:58+00:00,,-28578000.0,191966000.0,442682000.0,,3573000.0,346134000.0,603000000.0,158224000.0,-816760000.0,886641000.0,158224000.0,-816760000.0,886641000.0,228105000.0,697327000.0,697327000.0,-228363000.0,-8082000.0,7400000.0,-593669000.0,-1300417000.0,-46902000.0,-182859000.0,,-6300000.0,523159000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2014.0,Q4,2014-10-01,2014-12-31,,,-7070000.0,37313000.0,114084000.0,,14524000.0,6043000.0,300000000.0,144485000.0,-320265000.0,245212000.0,144485000.0,-320265000.0,245212000.0,69432000.0,142526000.0,142526000.0,-18852000.0,-4406000.0,3937000.0,-153011000.0,-427921000.0,-13578000.0,-4141000.0,,,117297000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2014.0,Q3TTM,2013-10-01,2014-09-30,,,-28624000.0,471059000.0,433749000.0,,29973000.0,341920000.0,666718000.0,-86045000.0,-482658000.0,895821000.0,-86045000.0,-482658000.0,895821000.0,327118000.0,806891000.0,806891000.0,-346168000.0,-7762000.0,7118000.0,-579058000.0,-1361895000.0,-47212000.0,-499666000.0,,-8197000.0,919331000.0
