company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2016.0,Q3YTD,2015-07-01,2016-03-31,2017-05-10 07:24:17+00:00,-486000000.0,370000000.0,4000000.0,92000000.0,342000000.0,204000000.0,-703000000.0,589000000.0,0.0,15000000.0,-66000000.0,204000000.0,-688000000.0,523000000.0,39000000.0,141000000.0,121000000.0,20000000.0,6000000.0,,21000000.0,-88000000.0,-62000000.0,-180000000.0,-9000000.0,-41000000.0,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2016.0,Q3TTM,2015-04-01,2016-03-31,,-488000000.0,493000000.0,-130000000.0,52000000.0,342000000.0,174000000.0,-861000000.0,751000000.0,,-55000000.0,-223000000.0,174000000.0,-916000000.0,528000000.0,-214000000.0,-222000000.0,141000000.0,-363000000.0,65000000.0,,20000000.0,-89000000.0,-175000000.0,-270000000.0,-8000000.0,-71000000.0,,182000000.0
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2016.0,Q3,2016-01-01,2016-03-31,,-385000000.0,126000000.0,2000000.0,246000000.0,342000000.0,303000000.0,-453000000.0,243000000.0,,15000000.0,-66000000.0,303000000.0,-438000000.0,177000000.0,42000000.0,-130000000.0,-128000000.0,-2000000.0,-1000000.0,,16000000.0,-14000000.0,-26000000.0,-60000000.0,-2000000.0,-23000000.0,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2016.0,Q2YTD,2015-07-01,2015-12-31,2017-02-10 06:22:41+00:00,-101000000.0,244000000.0,2000000.0,-154000000.0,,-99000000.0,-250000000.0,346000000.0,,,,-99000000.0,-250000000.0,346000000.0,-3000000.0,271000000.0,249000000.0,22000000.0,7000000.0,,5000000.0,-74000000.0,-36000000.0,-120000000.0,-7000000.0,-18000000.0,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2016.0,Q2TTM,2015-01-01,2015-12-31,,-108000000.0,491000000.0,-112000000.0,-86000000.0,,-133000000.0,-456000000.0,790000000.0,,-70000000.0,-157000000.0,-133000000.0,-526000000.0,633000000.0,-26000000.0,-58000000.0,325000000.0,-383000000.0,60000000.0,,20000000.0,-87000000.0,-160000000.0,-278000000.0,2000000.0,-48000000.0,,182000000.0
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2016.0,Q2,2015-10-01,2015-12-31,,-85000000.0,123000000.0,,-39000000.0,,-62000000.0,-164000000.0,205000000.0,,,,-62000000.0,-164000000.0,205000000.0,-21000000.0,82000000.0,106000000.0,-24000000.0,15000000.0,,,-58000000.0,-22000000.0,-57000000.0,-1000000.0,-3000000.0,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2016.0,Q1,2015-07-01,2015-09-30,2016-11-08 07:17:01+00:00,-16000000.0,121000000.0,2000000.0,-115000000.0,,-37000000.0,-86000000.0,141000000.0,,,,-37000000.0,-86000000.0,141000000.0,18000000.0,189000000.0,143000000.0,46000000.0,-8000000.0,,5000000.0,-16000000.0,-14000000.0,-63000000.0,-6000000.0,-15000000.0,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2016.0,Q1TTM,2014-10-01,2015-09-30,,-792000000.0,495000000.0,-112000000.0,-67000000.0,,-201000000.0,-1248000000.0,909000000.0,,-70000000.0,-157000000.0,-201000000.0,-1318000000.0,752000000.0,-767000000.0,23000000.0,401000000.0,-378000000.0,80000000.0,,20000000.0,-29000000.0,-269000000.0,-277000000.0,-127000000.0,-45000000.0,,182000000.0
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2017.0,FY,2016-07-01,2017-06-30,2019-08-13 07:10:07+00:00,-347000000.0,449000000.0,,-391000000.0,0.0,-217000000.0,-420000000.0,499000000.0,0.0,0.0,-5000000.0,-217000000.0,-420000000.0,494000000.0,-143000000.0,-643000000.0,-643000000.0,0.0,1084000000.0,,10000000.0,-152000000.0,-98000000.0,-256000000.0,-65000000.0,,,271000000.0
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2017.0,Q4,2017-04-01,2017-06-30,,-2000000.0,100000000.0,,113000000.0,,-65000000.0,-371000000.0,275000000.0,,,,-65000000.0,-371000000.0,275000000.0,-161000000.0,-424000000.0,-424000000.0,,486000000.0,,-315000000.0,-59000000.0,-5000000.0,-88000000.0,-6000000.0,,,39000000.0
