date,intraperiod,frequency,open,high,low,close,volume,adj_open,adj_high,adj_low,adj_close,adj_volume
1990-06-15,False,daily,14.62,14.75,14.13,14.75,5200.0,7.3973703155296,7.4631472061602,7.1494420354605,7.4631472061602,7800.0
1990-06-14,False,daily,14.62,14.62,14.25,14.62,12200.0,7.3973703155296,7.3973703155296,7.2101591652734,7.3973703155296,18300.0
1990-06-13,False,daily,14.88,15.38,14.75,14.75,11600.0,7.5135065047836,7.7659764814229,7.4478643108574,7.4478643108574,17400.0
1990-06-12,False,daily,14.37,14.88,13.88,14.88,10000.0,7.2559871286116,7.5135065047836,7.0085665515052,7.5135065047836,15000.0
1990-06-11,False,daily,14.75,14.88,14.37,14.37,12400.0,7.4478643108574,7.5135065047836,7.2559871286116,7.2559871286116,18600.0
1990-06-08,False,daily,14.75,14.75,14.5,14.75,4600.0,7.4478643108574,7.4478643108574,7.3216293225378,7.4478643108574,6900.0
1990-06-07,False,daily,15.5,15.5,14.62,15.0,7667.0,7.8265692758163,7.8265692758163,7.3822221169312,7.5740992991771,11500.5
1990-06-06,False,daily,15.63,15.63,14.75,15.5,13667.0,7.8922114697425,7.8922114697425,7.4478643108574,7.8265692758163,20500.5
1990-06-05,False,daily,15.75,16.12,15.63,15.63,3667.0,7.9528042641359,8.1396320468489,7.8922114697425,7.8922114697425,5500.5
1990-06-04,False,daily,15.63,15.87,15.63,15.75,3667.0,7.8922114697425,8.0133970585293,7.8922114697425,7.9528042641359,5500.5
1990-06-01,False,daily,15.12,15.75,15.0,15.5,17000.0,7.6346920935705,7.9528042641359,7.5740992991771,7.8265692758163,25500.0
1990-05-31,False,daily,14.0,15.12,12.5,15.12,90000.0,7.0691593458986,7.6346920935705,6.3117494159809,7.6346920935705,135000.0
1990-05-30,False,daily,15.12,15.63,14.0,14.0,31000.0,7.6346920935705,7.8922114697425,7.0691593458986,7.0691593458986,46500.0
1990-05-29,False,daily,15.75,15.75,15.0,15.12,17267.0,7.9528042641359,7.9528042641359,7.5740992991771,7.6346920935705,25900.5
1990-05-25,False,daily,16.0,16.0,15.63,15.75,8467.0,8.0790392524555,8.0790392524555,7.8922114697425,7.9528042641359,12700.5
1990-05-24,False,daily,16.12,16.25,15.63,16.0,16067.0,8.1396320468489,8.2052742407751,7.8922114697425,8.0790392524555,24100.5
1990-05-23,False,daily,16.12,16.38,15.63,16.12,21867.0,8.1396320468489,8.2709164347013,7.8922114697425,8.1396320468489,32800.5
1990-05-22,False,daily,16.38,16.75,16.12,16.12,6800.0,8.2709164347013,8.4577442174144,8.1396320468489,8.1396320468489,10200.0
1990-05-21,False,daily,16.38,16.88,16.25,16.38,8400.0,8.2709164347013,8.5233864113406,8.2052742407751,8.2709164347013,12600.0
1990-05-18,False,daily,16.38,16.38,15.87,16.38,6067.0,8.2709164347013,8.2709164347013,8.0133970585293,8.2709164347013,9100.5
1990-05-17,False,daily,16.88,16.88,16.38,16.38,7867.0,8.5233864113406,8.5233864113406,8.2709164347013,8.2709164347013,11800.5
1990-05-16,False,daily,16.75,17.0,16.75,16.88,11000.0,8.4577442174144,8.583979205734,8.4577442174144,8.5233864113406,16500.0
1990-05-15,False,daily,16.75,16.75,16.75,16.75,7200.0,8.4577442174144,8.4577442174144,8.4577442174144,8.4577442174144,10800.0
1990-05-14,False,daily,16.88,17.0,16.88,16.88,12600.0,8.5233864113406,8.583979205734,8.5233864113406,8.5233864113406,18900.0
1990-05-11,False,daily,16.38,17.25,16.38,16.75,15400.0,8.2709164347013,8.7102141940536,8.2709164347013,8.4577442174144,23100.0
1990-05-10,False,daily,16.62,16.62,15.75,16.25,8667.0,8.3921020234882,8.3921020234882,7.9528042641359,8.2052742407751,13000.5
1990-05-09,False,daily,16.62,16.62,16.5,16.62,3800.0,8.3921020234882,8.3921020234882,8.3315092290948,8.3921020234882,5700.0
1990-05-08,False,daily,16.75,16.88,16.5,16.62,5867.0,8.4577442174144,8.5233864113406,8.3315092290948,8.3921020234882,8800.5
1990-05-07,False,daily,16.38,16.88,16.38,16.75,20400.0,8.2709164347013,8.5233864113406,8.2709164347013,8.4577442174144,30600.0
1990-05-04,False,daily,16.0,16.25,15.75,16.25,8667.0,8.0790392524555,8.2052742407751,7.9528042641359,8.2052742407751,13000.5
1990-05-03,False,daily,15.75,16.12,15.25,16.0,9667.0,7.9528042641359,8.1396320468489,7.7003342874967,8.0790392524555,14500.5
1990-05-02,False,daily,16.25,16.25,15.75,15.75,7600.0,8.2052742407751,8.2052742407751,7.9528042641359,7.9528042641359,11400.0
1990-05-01,False,daily,16.25,16.75,16.25,16.25,9200.0,8.2052742407751,8.4577442174144,8.2052742407751,8.2052742407751,13800.0
1990-04-30,False,daily,16.12,16.25,15.5,16.25,21400.0,8.1396320468489,8.2052742407751,7.8265692758163,8.2052742407751,32100.0
1990-04-27,False,daily,16.12,16.25,15.75,16.12,12000.0,8.1396320468489,8.2052742407751,7.9528042641359,8.1396320468489,18000.0
1990-04-26,False,daily,16.5,16.62,15.25,16.12,74467.0,8.3315092290948,8.3921020234882,7.7003342874967,8.1396320468489,111700.5
1990-04-25,False,daily,17.75,17.88,16.5,16.5,23400.0,8.9626841706928,9.0283263646191,8.3315092290948,8.3315092290948,35100.0
1990-04-24,False,daily,17.37,18.12,16.12,17.75,38267.0,8.770806988447,9.1495119534059,8.1396320468489,8.9626841706928,57400.5
1990-04-23,False,daily,17.88,17.88,16.75,17.37,16067.0,9.0283263646191,9.0283263646191,8.4577442174144,8.770806988447,24100.5
1990-04-20,False,daily,18.12,18.75,17.5,17.88,23800.0,9.1495119534059,9.4676241239713,8.8364491823732,9.0283263646191,35700.0
1990-04-19,False,daily,17.75,18.25,17.0,18.12,23200.0,8.9626841706928,9.2151541473321,8.583979205734,9.1495119534059,34800.0
1990-04-18,False,daily,19.25,19.25,17.75,17.75,33400.0,9.7200941006106,9.7200941006106,8.9626841706928,8.9626841706928,50100.0
1990-04-17,False,daily,18.12,19.25,17.75,19.25,35600.0,9.1495119534059,9.7200941006106,8.9626841706928,9.7200941006106,53400.0
1990-04-16,False,daily,17.5,18.75,17.5,18.12,38000.0,8.8364491823732,9.4676241239713,8.8364491823732,9.1495119534059,57000.0
1990-04-12,False,daily,16.75,17.5,16.75,17.25,22867.0,8.4577442174144,8.8364491823732,8.4577442174144,8.7102141940536,34300.5
1990-04-11,False,daily,16.25,16.75,16.25,16.5,8267.0,8.2052742407751,8.4577442174144,8.2052742407751,8.3315092290948,12400.5
1990-04-10,False,daily,17.13,17.13,16.0,16.25,29067.0,8.6496213996602,8.6496213996602,8.0790392524555,8.2052742407751,43600.5
1990-04-09,False,daily,16.25,17.37,16.25,17.13,38267.0,8.2052742407751,8.770806988447,8.2052742407751,8.6496213996602,57400.5
1990-04-06,False,daily,15.5,16.0,15.5,16.0,10000.0,7.8265692758163,8.0790392524555,7.8265692758163,8.0790392524555,15000.0
1990-04-05,False,daily,14.62,15.25,14.62,15.25,14067.0,7.3822221169312,7.7003342874967,7.3822221169312,7.7003342874967,21100.5
1990-04-04,False,daily,14.5,15.12,14.25,14.37,18600.0,7.3216293225378,7.6346920935705,7.1953943342182,7.2559871286116,27900.0
1990-04-03,False,daily,13.75,14.62,13.75,14.5,10400.0,6.942924357579,7.3822221169312,6.942924357579,7.3216293225378,15600.0
1990-04-02,False,daily,26.87,27.62,26.87,27.5,9800.0,6.7838682722963,6.9732207547757,6.7838682722963,6.942924357579,29400.0
1990-03-30,False,daily,25.75,26.62,24.88,26.62,9000.0,6.5011018984603,6.7207507781364,6.2814530187842,6.7207507781364,27000.0
1990-03-29,False,daily,27.0,27.0,25.5,25.75,9400.0,6.8166893692594,6.8166893692594,6.4379844043005,6.5011018984603,28200.0
1990-03-28,False,daily,27.5,27.5,27.13,27.13,3300.0,6.942924357579,6.942924357579,6.8495104662225,6.8495104662225,9900.0
1990-03-27,False,daily,27.5,27.5,27.5,27.5,0.0,6.942924357579,6.942924357579,6.942924357579,6.942924357579,0.0
1990-03-26,False,daily,27.62,27.75,27.5,27.5,1500.0,6.9732207547757,7.0060418517388,6.942924357579,6.942924357579,4500.0
