company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Lorillard Inc ,LO,,1424847,2012.0,Q1,2012-01-01,2012-03-31,2013-04-24 16:07:19+00:00,0.57,0.57,0.52,0.57,131000000.0,223000000.0,223000000.0,223000000.0,1003000000.0,1526000000.0,131000000.0,1003000000.0,523000000.0,39000000.0,1000000.0,131000000.0,392000000.0,-38000000.0,354000000.0,1526000000.0,391200000.0,391450000.0,392400000.0
Lorillard Inc ,LO,,1424847,2013.0,Q4,2013-10-01,2013-12-31,,0.75,0.75,0.54,0.75,170000000.0,281000000.0,281000000.0,281000000.0,1083000000.0,1742000000.0,164000000.0,1083000000.0,659000000.0,45000000.0,1000000.0,164000000.0,495000000.0,-44000000.0,451000000.0,1742000000.0,374600000.0,372960000.0,373710000.0
Lorillard Inc ,LO,,1424847,2013.0,FY,2013-01-01,2013-12-31,2015-02-11 18:13:31+00:00,3.15,3.15,2.2,3.15,704000000.0,1180000000.0,1180000000.0,1180000000.0,4231000000.0,6950000000.0,665000000.0,4231000000.0,2719000000.0,172000000.0,2000000.0,665000000.0,2054000000.0,-170000000.0,1884000000.0,6950000000.0,374600000.0,372960000.0,373710000.0
Lorillard Inc ,LO,,1424847,2013.0,Q3YTD,2013-01-01,2013-09-30,,2.42,2.42,1.67,2.42,534000000.0,899000000.0,899000000.0,899000000.0,3148000000.0,5208000000.0,501000000.0,3148000000.0,2060000000.0,127000000.0,1000000.0,501000000.0,1559000000.0,-126000000.0,1433000000.0,5208000000.0,373900000.0,371010000.0,371770000.0
Lorillard Inc ,LO,,1424847,2013.0,Q3TTM,2012-10-01,2013-09-30,,3.26,3.26,2.21,3.26,709000000.0,1208000000.0,1208000000.0,1208000000.0,4208000000.0,6913000000.0,624000000.0,4208000000.0,2705000000.0,167000000.0,3000000.0,624000000.0,2081000000.0,-164000000.0,1917000000.0,6913000000.0,373900000.0,371010000.0,371770000.0
Lorillard Inc ,LO,,1424847,2013.0,Q3,2013-07-01,2013-09-30,2014-10-23 13:22:18+00:00,0.69,0.69,0.55,0.69,155000000.0,258000000.0,258000000.0,258000000.0,1158000000.0,1827000000.0,211000000.0,1158000000.0,669000000.0,45000000.0,,211000000.0,458000000.0,-45000000.0,413000000.0,1827000000.0,373900000.0,371010000.0,371770000.0
Lorillard Inc ,LO,,1424847,2013.0,Q2YTD,2013-01-01,2013-06-30,,1.71,1.71,1.11,1.71,379000000.0,641000000.0,641000000.0,641000000.0,1990000000.0,3381000000.0,290000000.0,1990000000.0,1391000000.0,82000000.0,1000000.0,290000000.0,1101000000.0,-81000000.0,1020000000.0,3381000000.0,377100000.0,375860000.0,376610000.0
Lorillard Inc ,LO,,1424847,2013.0,Q2TTM,2012-07-01,2013-06-30,,3.28,3.28,2.18,3.28,714000000.0,1233000000.0,1233000000.0,1233000000.0,4109000000.0,6747000000.0,535000000.0,4109000000.0,2638000000.0,160000000.0,4000000.0,535000000.0,2103000000.0,-156000000.0,1947000000.0,6747000000.0,377100000.0,375860000.0,376610000.0
Lorillard Inc ,LO,,1424847,2013.0,Q2,2013-04-01,2013-06-30,2014-07-30 10:58:35+00:00,0.83,0.83,0.55,0.83,186000000.0,313000000.0,313000000.0,313000000.0,1126000000.0,1804000000.0,138000000.0,1126000000.0,678000000.0,41000000.0,,138000000.0,540000000.0,-41000000.0,499000000.0,1804000000.0,377100000.0,375860000.0,376610000.0
Lorillard Inc ,LO,,1424847,2013.0,Q1TTM,2012-04-01,2013-03-31,,3.18,3.18,2.15,3.18,691000000.0,1204000000.0,1204000000.0,1204000000.0,4102000000.0,6674000000.0,525000000.0,4102000000.0,2572000000.0,156000000.0,4000000.0,525000000.0,2047000000.0,-152000000.0,1895000000.0,6674000000.0,381400000.0,378620000.0,379420000.0
Lorillard Inc ,LO,,1424847,2013.0,Q1,2013-01-01,2013-03-31,2014-04-24 17:26:11+00:00,0.86,0.86,0.55,0.86,193000000.0,328000000.0,328000000.0,328000000.0,864000000.0,1577000000.0,152000000.0,864000000.0,713000000.0,41000000.0,1000000.0,152000000.0,561000000.0,-40000000.0,521000000.0,1577000000.0,381400000.0,378620000.0,379420000.0
Lorillard Inc ,LO,,1424847,2014.0,Q4,2014-10-01,2014-12-31,,0.91,0.91,0.62,0.91,217000000.0,327000000.0,327000000.0,327000000.0,1043000000.0,1768000000.0,138000000.0,1043000000.0,725000000.0,44000000.0,1000000.0,138000000.0,587000000.0,-43000000.0,544000000.0,1768000000.0,360800000.0,360140000.0,360760000.0
Lorillard Inc ,LO,,1424847,2014.0,FY,2014-01-01,2014-12-31,2015-02-11 18:13:31+00:00,3.29,3.29,2.46,3.28,749000000.0,1187000000.0,1187000000.0,1187000000.0,4252000000.0,6990000000.0,630000000.0,4252000000.0,2738000000.0,179000000.0,7000000.0,630000000.0,2108000000.0,-172000000.0,1936000000.0,6990000000.0,360800000.0,360140000.0,360760000.0
Lorillard Inc ,LO,,1424847,2014.0,Q3YTD,2014-01-01,2014-09-30,,2.4,2.4,1.86,2.4,532000000.0,860000000.0,860000000.0,860000000.0,3209000000.0,5222000000.0,492000000.0,3209000000.0,2013000000.0,135000000.0,6000000.0,492000000.0,1521000000.0,-129000000.0,1392000000.0,5222000000.0,361300000.0,359060000.0,359680000.0
Lorillard Inc ,LO,,1424847,2014.0,Q3TTM,2013-10-01,2014-09-30,,3.18,3.18,2.42,3.18,702000000.0,1141000000.0,1141000000.0,1141000000.0,4292000000.0,6964000000.0,656000000.0,4292000000.0,2672000000.0,180000000.0,7000000.0,656000000.0,2016000000.0,-173000000.0,1843000000.0,6964000000.0,361300000.0,359060000.0,359680000.0
Lorillard Inc ,LO,,1424847,2014.0,Q3,2014-07-01,2014-09-30,2014-10-23 13:22:18+00:00,0.8,0.8,0.62,0.8,183000000.0,289000000.0,289000000.0,289000000.0,1120000000.0,1831000000.0,194000000.0,1120000000.0,711000000.0,45000000.0,,194000000.0,517000000.0,-45000000.0,472000000.0,1831000000.0,361300000.0,359060000.0,359680000.0
Lorillard Inc ,LO,,1424847,2014.0,Q2YTD,2014-01-01,2014-06-30,,1.58,1.58,1.24,1.58,349000000.0,571000000.0,571000000.0,571000000.0,2089000000.0,3391000000.0,298000000.0,2089000000.0,1302000000.0,90000000.0,6000000.0,298000000.0,1004000000.0,-84000000.0,920000000.0,3391000000.0,361400000.0,360310000.0,360930000.0
Lorillard Inc ,LO,,1424847,2014.0,Q2TTM,2013-07-01,2014-06-30,,3.08,3.08,2.36,3.08,674000000.0,1110000000.0,1110000000.0,1110000000.0,4330000000.0,6960000000.0,673000000.0,4330000000.0,2630000000.0,180000000.0,7000000.0,673000000.0,1957000000.0,-173000000.0,1784000000.0,6960000000.0,361400000.0,360310000.0,360930000.0
Lorillard Inc ,LO,,1424847,2014.0,Q2,2014-04-01,2014-06-30,2014-07-30 10:58:35+00:00,0.83,0.83,0.62,0.83,185000000.0,300000000.0,300000000.0,300000000.0,1116000000.0,1799000000.0,151000000.0,1116000000.0,683000000.0,45000000.0,-2000000.0,151000000.0,532000000.0,-47000000.0,485000000.0,1799000000.0,361400000.0,360310000.0,360930000.0
Lorillard Inc ,LO,,1424847,2014.0,Q1TTM,2013-04-01,2014-03-31,,3.1,3.1,2.31,3.1,675000000.0,1123000000.0,1123000000.0,1123000000.0,4340000000.0,6965000000.0,660000000.0,4340000000.0,2625000000.0,176000000.0,9000000.0,660000000.0,1965000000.0,-167000000.0,1798000000.0,6965000000.0,361300000.0,362120000.0,362710000.0
Lorillard Inc ,LO,,1424847,2014.0,Q1,2014-01-01,2014-03-31,2015-04-21 15:40:48+00:00,0.75,0.75,0.62,0.74,164000000.0,271000000.0,271000000.0,271000000.0,973000000.0,1592000000.0,147000000.0,973000000.0,619000000.0,45000000.0,8000000.0,147000000.0,472000000.0,-37000000.0,435000000.0,1592000000.0,361300000.0,362120000.0,362710000.0
Lorillard Inc ,LO,,1424847,2015.0,Q1TTM,2014-04-01,2015-03-31,,3.32,3.32,2.51,3.32,753000000.0,1191000000.0,1191000000.0,1191000000.0,4281000000.0,7066000000.0,662000000.0,4281000000.0,2785000000.0,179000000.0,,662000000.0,2123000000.0,-179000000.0,1944000000.0,7066000000.0,361800000.0,359230000.0,359910000.0
Lorillard Inc ,LO,,1424847,2015.0,Q1,2015-01-01,2015-03-31,2015-04-21 15:40:48+00:00,0.76,0.76,0.66,0.76,168000000.0,275000000.0,275000000.0,275000000.0,1002000000.0,1668000000.0,179000000.0,1002000000.0,666000000.0,45000000.0,1000000.0,179000000.0,487000000.0,-44000000.0,443000000.0,1668000000.0,361800000.0,359230000.0,359910000.0
