company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstonetincometocommon,othergains,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Transocean Ltd,RIG,,1451505,2012.0,Q1,2012-01-01,2012-03-31,2013-05-08 16:50:16+00:00,0.03,0.03,285000000.0,0.03,140000000.0,34000000.0,18000000.0,154000000.0,-136000000.0,10000000.0,8000000.0,1242000000.0,2014000000.0,,,-18000000.0,,96000000.0,3000000.0,69000000.0,1242000000.0,868000000.0,180000000.0,15000000.0,497000000.0,371000000.0,-183000000.0,188000000.0,2110000000.0,333300000.0,350000000.0,350000000.0
Transocean Ltd,RIG,,1451505,2013.0,FY,2013-01-01,2013-12-31,2016-02-24 20:17:03+00:00,3.87,3.87,1109000000.0,3.87,81000000.0,258000000.0,1407000000.0,1398000000.0,9000000.0,1407000000.0,,5563000000.0,9249000000.0,,,-29000000.0,,,-7000000.0,286000000.0,5563000000.0,3686000000.0,584000000.0,52000000.0,1469000000.0,2217000000.0,-561000000.0,1656000000.0,9249000000.0,363600000.0,360000000.0,360000000.0
Transocean Ltd,RIG,,1451505,2013.0,Q4,2013-10-01,2013-12-31,,0.65,0.65,275000000.0,0.65,27000000.0,43000000.0,235000000.0,218000000.0,17000000.0,233000000.0,2000000.0,1464000000.0,2381000000.0,,,-8000000.0,,-129000000.0,16000000.0,75000000.0,1464000000.0,788000000.0,139000000.0,13000000.0,393000000.0,395000000.0,-134000000.0,261000000.0,2252000000.0,363600000.0,360000000.0,360000000.0
Transocean Ltd,RIG,,1451505,2013.0,Q3YTD,2013-01-01,2013-09-30,,3.22,3.22,834000000.0,3.22,54000000.0,215000000.0,1172000000.0,1180000000.0,-8000000.0,1174000000.0,-2000000.0,4099000000.0,6868000000.0,,,-21000000.0,,129000000.0,-23000000.0,211000000.0,4099000000.0,2898000000.0,445000000.0,39000000.0,1076000000.0,1822000000.0,-427000000.0,1395000000.0,6997000000.0,364000000.0,360000000.0,361000000.0
Transocean Ltd,RIG,,1451505,2013.0,Q3TTM,2012-10-01,2013-09-30,,4.49,4.49,1111000000.0,4.49,32000000.0,143000000.0,1629000000.0,1628000000.0,1000000.0,1630000000.0,-1000000.0,5290000000.0,9315000000.0,,,-38000000.0,,-243000000.0,-19000000.0,276000000.0,5290000000.0,3782000000.0,625000000.0,52000000.0,1400000000.0,2382000000.0,-611000000.0,1771000000.0,9072000000.0,364000000.0,360000000.0,361000000.0
Transocean Ltd,RIG,,1451505,2013.0,Q3,2013-07-01,2013-09-30,2014-11-10 17:20:03+00:00,1.5,1.5,273000000.0,1.5,17000000.0,63000000.0,548000000.0,540000000.0,8000000.0,546000000.0,2000000.0,1386000000.0,2402000000.0,,,-4000000.0,,47000000.0,-32000000.0,67000000.0,1386000000.0,1063000000.0,142000000.0,11000000.0,325000000.0,738000000.0,-135000000.0,603000000.0,2449000000.0,364000000.0,360000000.0,361000000.0
Transocean Ltd,RIG,,1451505,2013.0,Q2YTD,2013-01-01,2013-06-30,,1.72,1.72,561000000.0,1.72,37000000.0,152000000.0,624000000.0,640000000.0,-16000000.0,628000000.0,-4000000.0,2713000000.0,4466000000.0,,,-17000000.0,,82000000.0,9000000.0,144000000.0,2713000000.0,1835000000.0,303000000.0,28000000.0,751000000.0,1084000000.0,-292000000.0,792000000.0,4548000000.0,365500000.0,360000000.0,360000000.0
Transocean Ltd,RIG,,1451505,2013.0,Q2TTM,2012-07-01,2013-06-30,,1.93,1.93,1118000000.0,1.93,15000000.0,185000000.0,698000000.0,1621000000.0,-923000000.0,703000000.0,-5000000.0,5225000000.0,9223000000.0,,,-42000000.0,,-169000000.0,-37000000.0,278000000.0,5225000000.0,3829000000.0,663000000.0,56000000.0,1374000000.0,2455000000.0,-649000000.0,1806000000.0,9054000000.0,365500000.0,360000000.0,360000000.0
Transocean Ltd,RIG,,1451505,2013.0,Q2,2013-04-01,2013-06-30,2014-08-06 17:24:30+00:00,0.84,0.84,286000000.0,0.84,37000000.0,132000000.0,311000000.0,322000000.0,-11000000.0,307000000.0,4000000.0,1357000000.0,2321000000.0,,,-16000000.0,,43000000.0,2000000.0,77000000.0,1357000000.0,1007000000.0,146000000.0,11000000.0,402000000.0,605000000.0,-151000000.0,454000000.0,2364000000.0,365500000.0,360000000.0,360000000.0
Transocean Ltd,RIG,,1451505,2013.0,Q1TTM,2012-04-01,2013-03-31,,0.23,0.23,1112000000.0,0.23,-22000000.0,38000000.0,84000000.0,996000000.0,-912000000.0,92000000.0,-8000000.0,5973000000.0,9076000000.0,,,-32000000.0,,-57000000.0,-32000000.0,280000000.0,5973000000.0,3046000000.0,700000000.0,58000000.0,1338000000.0,1708000000.0,-674000000.0,1034000000.0,9019000000.0,364800000.0,360000000.0,360000000.0
